country,variable,specification,adf_statistic,pvalue,lags_used,nobs,critical_1pct,critical_5pct,critical_10pct
Indonesia,depreciation,Constant,-5.6502964613012665,9.895985048090252e-07,2,25,-3.7238633119999998,-2.98648896,-2.6328004
Malaysia,depreciation,Constant,-7.362342323886019,9.428534775086352e-11,0,27,-3.6996079738860943,-2.9764303469999494,-2.627601001371742
Thailand,depreciation,Constant,-9.278579758128059,1.2691538984056707e-15,1,26,-3.7112123008648155,-2.981246804733728,-2.6300945562130176
Indonesia,corr_inv,Constant,-5.081628975882115,1.5261750686321852e-05,0,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Malaysia,corr_inv,Constant,-2.5731676261383236,0.09867074730701364,7,21,-3.7883858816542486,-3.013097747543462,-2.6463967573696143
Thailand,corr_inv,Constant,-8.410868529702729,2.105647593226295e-13,0,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Indonesia,infl_diff,Constant,-2.3338115389953704,0.16129479684725745,7,21,-3.7883858816542486,-3.013097747543462,-2.6463967573696143
Malaysia,infl_diff,Constant,-5.746662210181441,6.099144435580553e-07,1,27,-3.6996079738860943,-2.9764303469999494,-2.627601001371742
Thailand,infl_diff,Constant,-10.241899028006179,4.725509571622368e-18,0,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Indonesia,ca_gdp,Constant,-4.811010049102421,5.180887993304318e-05,0,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Malaysia,ca_gdp,Constant,-1.743512555876295,0.40884432422178696,4,24,-3.7377092158564813,-2.9922162731481485,-2.635746736111111
Thailand,ca_gdp,Constant,-4.957622266854694,2.6902891920117804e-05,0,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Indonesia,reserves_moi,Constant,-6.03207101753511,1.410199042274947e-07,1,27,-3.6996079738860943,-2.9764303469999494,-2.627601001371742
Malaysia,reserves_moi,Constant,-6.919797762534674,1.1543031881529764e-09,0,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Thailand,reserves_moi,Constant,-5.4495398979659475,2.6634444469295592e-06,1,27,-3.6996079738860943,-2.9764303469999494,-2.627601001371742
Indonesia,gdp_growth,Constant,-5.500558339772393,2.0759253960288365e-06,1,27,-3.6996079738860943,-2.9764303469999494,-2.627601001371742
Malaysia,gdp_growth,Constant,-7.056521690565366,5.357660499059048e-10,2,26,-3.7112123008648155,-2.981246804733728,-2.6300945562130176
Thailand,gdp_growth,Constant,-3.616401819987699,0.005455092132288752,3,25,-3.7238633119999998,-2.98648896,-2.6328004
