country,variable,specification,adf_statistic,pvalue,lags_used,nobs,critical_1pct,critical_5pct,critical_10pct
Indonesia,ca_gdp,Constant,-2.1157970763096308,0.23821014379057037,0,29,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074
Indonesia,ca_gdp,Const+Trend,-2.679613436450024,0.24464439452989178,0,29,-4.31024911353479,-3.5744878842920986,-3.221793310508836
Malaysia,ca_gdp,Constant,-2.777075039505878,0.061623787061515285,0,29,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074
Malaysia,ca_gdp,Const+Trend,-2.2897704572810706,0.43961616739047404,5,24,-4.395041166087963,-3.6123930960648147,-3.243216493055556
Filipina,ca_gdp,Constant,-2.50699283254122,0.113782150940275,0,29,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074
Filipina,ca_gdp,Const+Trend,-2.3820870963203076,0.3891843191296683,0,29,-4.31024911353479,-3.5744878842920986,-3.221793310508836
Singapura,ca_gdp,Constant,-3.7387081257137593,0.0036004853430529797,1,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Singapura,ca_gdp,Const+Trend,-2.0225148981287533,0.5891173315393221,4,25,-4.3749647199999995,-3.6034675359999997,-3.23818632
Thailand,ca_gdp,Constant,-3.287562571545728,0.015443664549588457,0,29,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074
Thailand,ca_gdp,Const+Trend,-3.1430003098309984,0.09636934763776467,0,29,-4.31024911353479,-3.5744878842920986,-3.221793310508836
