country,variable,specification,adf_statistic,pvalue,lags_used,nobs,critical_1pct,critical_5pct,critical_10pct
Indonesia,corr_inv,Constant,-5.081628975882115,1.5261750686321852e-05,0,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Indonesia,corr_inv,Const+Trend,-4.993979941864549,0.00021100479024861493,0,28,-4.3244664923469385,-3.580882474489796,-3.2254187317784258
Malaysia,corr_inv,Constant,-2.5731676261383236,0.09867074730701364,7,21,-3.7883858816542486,-3.013097747543462,-2.6463967573696143
Malaysia,corr_inv,Const+Trend,-2.8501375297884466,0.1791392295986345,7,21,-4.468818601662887,-3.6449459334845047,-3.261490621963071
Filipina,corr_inv,Constant,-5.112153231026248,1.3251231980332634e-05,0,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Filipina,corr_inv,Const+Trend,-5.0085123664703985,0.00019852632661935,0,28,-4.3244664923469385,-3.580882474489796,-3.2254187317784258
Singapura,corr_inv,Constant,-5.215298223586292,8.181335092342209e-06,0,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Singapura,corr_inv,Const+Trend,-5.297783854288474,5.706786608781077e-05,0,28,-4.3244664923469385,-3.580882474489796,-3.2254187317784258
Thailand,corr_inv,Constant,-8.410868529702729,2.105647593226295e-13,0,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Thailand,corr_inv,Const+Trend,-8.352069803000804,1.0988037414987876e-11,0,28,-4.3244664923469385,-3.580882474489796,-3.2254187317784258
