country,variable,specification,adf_statistic,pvalue,lags_used,nobs,critical_1pct,critical_5pct,critical_10pct
Indonesia,depreciation,Constant,-5.6502964613012665,9.895985048090252e-07,2,25,-3.7238633119999998,-2.98648896,-2.6328004
Indonesia,depreciation,Const+Trend,-5.163526955159567,0.0001025721359820134,2,25,-4.3749647199999995,-3.6034675359999997,-3.23818632
Malaysia,depreciation,Constant,-7.362342323886019,9.428534775086352e-11,0,27,-3.6996079738860943,-2.9764303469999494,-2.627601001371742
Malaysia,depreciation,Const+Trend,-7.22233665546373,4.4131588165533115e-09,0,27,-4.339881664888482,-3.5877977071584612,-3.2293340725499164
Filipina,depreciation,Constant,-9.143815144675452,2.802788060720397e-15,1,26,-3.7112123008648155,-2.981246804733728,-2.6300945562130176
Filipina,depreciation,Const+Trend,-10.04299248939684,1.8713128774389626e-15,1,26,-4.356652259899864,-3.595299990896677,-3.233575694128357
Singapura,depreciation,Constant,-7.072059942819764,4.908242305913241e-10,1,26,-3.7112123008648155,-2.981246804733728,-2.6300945562130176
Singapura,depreciation,Const+Trend,-7.262329845900921,3.57594616714069e-09,1,26,-4.356652259899864,-3.595299990896677,-3.233575694128357
Thailand,depreciation,Constant,-9.278579758128059,1.2691538984056707e-15,1,26,-3.7112123008648155,-2.981246804733728,-2.6300945562130176
Thailand,depreciation,Const+Trend,-10.581187717296242,1.4612387511033639e-16,1,26,-4.356652259899864,-3.595299990896677,-3.233575694128357
