country,variable,specification,adf_statistic,pvalue,lags_used,nobs,critical_1pct,critical_5pct,critical_10pct
Indonesia,depreciation,Constant,-3.9752469892485567,0.0015458180809273367,1,27,-3.6996079738860943,-2.9764303469999494,-2.627601001371742
Indonesia,depreciation,Const+Trend,-4.368176560464545,0.00245999635001783,1,27,-4.339881664888482,-3.5877977071584612,-3.2293340725499164
Malaysia,depreciation,Constant,-4.205753421591535,0.0006442791063750431,0,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Malaysia,depreciation,Const+Trend,-4.191104118355479,0.004617444698691187,0,28,-4.3244664923469385,-3.580882474489796,-3.2254187317784258
Filipina,depreciation,Constant,-4.076917475805105,0.001057199542145813,0,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Filipina,depreciation,Const+Trend,-3.0114716246350564,0.12890198023684946,1,27,-4.339881664888482,-3.5877977071584612,-3.2293340725499164
Singapura,depreciation,Constant,-3.5079709964176473,0.007784726312622748,0,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Singapura,depreciation,Const+Trend,-3.5376491975442663,0.03553157190094511,0,28,-4.3244664923469385,-3.580882474489796,-3.2254187317784258
Thailand,depreciation,Constant,-3.928883950494325,0.0018322664218376888,0,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Thailand,depreciation,Const+Trend,-4.03562025209566,0.007821108426580747,0,28,-4.3244664923469385,-3.580882474489796,-3.2254187317784258
