country,variable,specification,adf_statistic,pvalue,lags_used,nobs,critical_1pct,critical_5pct,critical_10pct
Indonesia,infl_diff,Constant,-2.3338115389953704,0.16129479684725745,7,21,-3.7883858816542486,-3.013097747543462,-2.6463967573696143
Indonesia,infl_diff,Const+Trend,-6.213193516892772,7.744241104777448e-07,6,22,-4.441609162283997,-3.632984327573253,-3.2547885800150262
Malaysia,infl_diff,Constant,-5.746662210181441,6.099144435580553e-07,1,27,-3.6996079738860943,-2.9764303469999494,-2.627601001371742
Malaysia,infl_diff,Const+Trend,-5.632378939307602,1.2546363875483286e-05,1,27,-4.339881664888482,-3.5877977071584612,-3.2293340725499164
Filipina,infl_diff,Constant,-6.332805105509937,2.8786023007452386e-08,1,27,-3.6996079738860943,-2.9764303469999494,-2.627601001371742
Filipina,infl_diff,Const+Trend,-6.294452829979083,5.176034405053159e-07,1,27,-4.339881664888482,-3.5877977071584612,-3.2293340725499164
Singapura,infl_diff,Constant,-5.9820378793056355,1.8288041234767544e-07,1,27,-3.6996079738860943,-2.9764303469999494,-2.627601001371742
Singapura,infl_diff,Const+Trend,-5.903286083382836,3.4994566730004265e-06,1,27,-4.339881664888482,-3.5877977071584612,-3.2293340725499164
Thailand,infl_diff,Constant,-10.241899028006179,4.725509571622368e-18,0,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Thailand,infl_diff,Const+Trend,-10.318418288358723,4.988415373771397e-16,0,28,-4.3244664923469385,-3.580882474489796,-3.2254187317784258
