country,variable,specification,adf_statistic,pvalue,lags_used,nobs,critical_1pct,critical_5pct,critical_10pct
Indonesia,reserves_moi,Constant,-6.03207101753511,1.410199042274947e-07,1,27,-3.6996079738860943,-2.9764303469999494,-2.627601001371742
Indonesia,reserves_moi,Const+Trend,-6.427108553536962,2.665309980358973e-07,1,27,-4.339881664888482,-3.5877977071584612,-3.2293340725499164
Malaysia,reserves_moi,Constant,-6.919797762534674,1.1543031881529764e-09,0,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Malaysia,reserves_moi,Const+Trend,-7.27092259862858,3.4177968811356665e-09,0,28,-4.3244664923469385,-3.580882474489796,-3.2254187317784258
Filipina,reserves_moi,Constant,-5.047122237163793,1.7889742038845897e-05,0,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Filipina,reserves_moi,Const+Trend,-5.098122937691033,0.00013583106565303376,0,28,-4.3244664923469385,-3.580882474489796,-3.2254187317784258
Singapura,reserves_moi,Constant,-6.794025213277985,2.3255276589086715e-09,1,27,-3.6996079738860943,-2.9764303469999494,-2.627601001371742
Singapura,reserves_moi,Const+Trend,-7.001738059063791,1.40026635226401e-08,1,27,-4.339881664888482,-3.5877977071584612,-3.2293340725499164
Thailand,reserves_moi,Constant,-5.4495398979659475,2.6634444469295592e-06,1,27,-3.6996079738860943,-2.9764303469999494,-2.627601001371742
Thailand,reserves_moi,Const+Trend,-5.462744540993185,2.7291615915369023e-05,1,27,-4.339881664888482,-3.5877977071584612,-3.2293340725499164
