country,variable,specification,adf_statistic,pvalue,lags_used,nobs,critical_1pct,critical_5pct,critical_10pct
Indonesia,reserves_moi,Constant,-3.4910790926450725,0.008219179494417188,1,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Indonesia,reserves_moi,Const+Trend,-3.951848290099826,0.010281592891530293,1,28,-4.3244664923469385,-3.580882474489796,-3.2254187317784258
Malaysia,reserves_moi,Constant,-2.1743739901584562,0.21567731588028494,0,29,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074
Malaysia,reserves_moi,Const+Trend,-1.7693936467401905,0.7193258628030658,0,29,-4.31024911353479,-3.5744878842920986,-3.221793310508836
Filipina,reserves_moi,Constant,-1.8462259950751734,0.3577650757367309,0,29,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074
Filipina,reserves_moi,Const+Trend,-1.6415179223342882,0.7757553943432367,0,29,-4.31024911353479,-3.5744878842920986,-3.221793310508836
Singapura,reserves_moi,Constant,-3.495045774031227,0.008115244414422983,1,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Singapura,reserves_moi,Const+Trend,-4.540637854927042,0.0012943055588527262,1,28,-4.3244664923469385,-3.580882474489796,-3.2254187317784258
Thailand,reserves_moi,Constant,-2.3126640362907613,0.16791609253410772,0,29,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074
Thailand,reserves_moi,Const+Trend,-3.24206786619593,0.07634033832527616,5,24,-4.395041166087963,-3.6123930960648147,-3.243216493055556
